crew_id,mission_day,consciousness,consciousness_target
CDR-ALPHA,0,0.82,0.82
CDR-ALPHA,10,0.820115709284749,0.82
CDR-ALPHA,11,0.8202878630464908,0.82
CDR-ALPHA,12,0.8207443444672717,0.82
CDR-ALPHA,13,0.820842204134833,0.82
CDR-ALPHA,14,0.8209133067646007,0.82
CDR-ALPHA,17,0.8212118460943983,0.82
CDR-ALPHA,18,0.821252048563082,0.82
CDR-ALPHA,19,0.8213545160244382,0.82
CDR-ALPHA,23,0.8216064901537944,0.82
CDR-ALPHA,26,0.8217076177656256,0.82
CDR-ALPHA,27,0.8217371938240812,0.82
CDR-ALPHA,28,0.8218027957306691,0.82
CDR-ALPHA,30,0.8218557030614133,0.82
CDR-ALPHA,43,0.8219648473281127,0.82
CDR-ALPHA,47,0.8222968848619842,0.82
CDR-ALPHA,48,0.8225148637730131,0.82
CDR-ALPHA,49,0.8226914540233634,0.82
CDR-ALPHA,52,0.822692015534518,0.82
CDR-ALPHA,53,0.8238431042119376,0.82
CDR-ALPHA,54,0.8249779087238378,0.82
CDR-ALPHA,55,0.8262042013201982,0.82
CDR-ALPHA,56,0.827422853904329,0.82
CDR-ALPHA,57,0.8281077236912525,0.82
CDR-ALPHA,58,0.8287406286949914,0.82
CDR-ALPHA,59,0.8289806019688349,0.82
CDR-ALPHA,60,0.8292857711019286,0.82
CDR-ALPHA,61,0.8295849858986754,0.82
CDR-ALPHA,63,0.8296395451038824,0.82
CDR-ALPHA,64,0.8298400307707476,0.82
CDR-ALPHA,65,0.8301291731646647,0.82
CDR-ALPHA,66,0.8303793288720606,0.82
CDR-ALPHA,67,0.8303866874433377,0.82
CDR-ALPHA,68,0.830540788931474,0.82
CDR-ALPHA,69,0.8310454342099293,0.82
CDR-ALPHA,70,0.831478489002881,0.82
CDR-ALPHA,71,0.8319730435274765,0.82
CDR-ALPHA,72,0.8322218922665334,0.82
CDR-ALPHA,77,0.8322542582383814,0.82
CDR-ALPHA,90,0.8332209913462717,0.82
CDR-ALPHA,91,0.8338945379400817,0.82
CDR-ALPHA,92,0.8347099116317291,0.82
CDR-ALPHA,93,0.8355968586711884,0.82
CDR-ALPHA,94,0.8364742002585426,0.82
CDR-ALPHA,95,0.837572950589039,0.82
CDR-ALPHA,96,0.8386883621576074,0.82
CDR-ALPHA,97,0.8398138735024516,0.82
CDR-ALPHA,98,0.8411628551245912,0.82
CDR-ALPHA,99,0.8425266176263644,0.82
CDR-ALPHA,108,0.840890564001026,0.82
CDR-ALPHA,109,0.8391684879973765,0.82
